#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
350622185 0.5843104065289827 0.34 0.11 143534.48674731288 7548555.324268529 142962.92700526665 144106.3821087028 66016.65080979679
389726435 2.086474964251998 0.8 0.2 183063.8561075447 7505144.87540519 183309.26882837593 182849.11997681743 125884.41201543844
469979014 0.5813734946862329 0.1375 0.185 118419.30294870662 7425811.5342535125 99558.7484353782 137084.88274273777 43669.073183664594
31796120 0.9971183330135311 0.74 0.13 162235.5513068603 7386639.936780957 171505.3555105019 153964.71174006132 77910.21960290878
261746657 0.6584463392406406 0.5325 0.105 148380.78888604455 7381395.340290738 86100.43197455448 215290.68144453183 69387.26421490185
260161144 1.1171140600649552 0.4325 0.115 180663.98746131503 7368141.745297231 198827.40894663462 161637.55257945546 87522.80160763618
152226902 17.623824821579127 3.4299999999999997 0.18 640805.9557916445 7362825.812429558 639000.9588644266 699017.1066944291 225930.3895843152
280040060 1.225949792882102 0.49750000000000005 0.195 145465.69001302807 7200714.493346713 188840.76808149222 111370.12131128913 49184.905254804355
140045537 1.1187804138618351 0.42000000000000004 0.2 139391.80776601148 7191171.6259658225 130033.65844767203 148460.35416248464 6343.628969353052
139721086 4.486282883515889 0.42750000000000005 0.165 276726.01957440097 7104087.230379522 271663.11465320043 282204.42125205277 139451.53672028522
229804573 0.7320872805707835 0.325 0.17 126417.5756715091 7101311.740414798 115492.04953406377 138165.5727491082 45526.632871082904
393978805 0.42175768626708676 0.1675 0.075 135710.5334086197 7054623.864060943 135653.24592713267 135767.95968473214 173488.61708919564
206460831 0.7275147185306182 0.47250000000000003 0.165 123361.52299505589 7035026.208648436 122505.89135392533 124129.68158001726 170807.95832341738
402065927 0.6315590324534279 0.55 0.11 135592.6271544818 6902464.44840683 135544.5550983939 135640.69921057008 135168.09139208467
89018905 1.5716987652312826 0.6025 0.115 192603.87395437484 6772828.097541186 246542.52809834806 142634.73115433034 96920.71295715019
231629787 0.4 0.15 0.05 150536.5895064797 6753993.720683311 130695.68916334947 169985.78108747146 19664.297355866554
237915523 0.4983404295754248 0.36250000000000004 0.055 156848.3070063199 6686035.821084851 172289.22371253988 141210.20767025626 16857.833592423154
260131665 0.8364292843185762 0.475 0.2 115106.18231337729 6584082.543380843 132547.1505629571 98459.7912050082 33400.97948833709
410187905 0.4768691785158016 0.33 0.2 97827.10326015159 6505251.18040909 60025.33137495782 135628.87514534543 14025.667645176982
303909865 1.0633029707560524 0.33749999999999997 0.085 183163.88733052203 6483305.212965874 206026.8384621981 161129.3039934722 90746.69782421223
369218857 0.49126258649251886 0.13 0.05 157497.26460186968 6435624.248003755 184190.94226648964 129660.82795929107 20530.47067421094
441406061 1.5091213099167529 1.1700000000000002 0.2 140370.10950952422 6420258.026986291 143875.5376087289 136561.96741211554 62316.09608853617
176958076 0.4030070665764282 0.18000000000000002 0.08 118061.78460200808 6341070.144567003 118059.79543741136 118063.8286478353 153867.44257206644
99646802 0.7156308297395813 0.1225 0.165 110343.7253162827 6326229.48371301 109053.89214329465 111794.1528754745 97449.93669722023
261656371 7.19655066796778 5.8725 0.165 304295.5647327688 6325830.62382865 302619.6914713861 305819.7425696296 154685.85448407682
141622065 1.4637797594259223 0.13 0.2 137127.35017708127 6262980.056393725 129093.87613329967 148043.42373069024 63588.89611904696
281498280 0.7506063328498316 0.655 0.05 181258.07957696082 6104516.968067192 179717.02415626025 182754.1771409799 173523.85837668498
89428764 0.5648926524961692 0.09 0.07 135722.09858378125 6100625.372915984 127865.37476161894 143558.50329261064 11610.002993221751
139845816 0.4410250805282264 0.3125 0.075 119419.73900614904 6079277.403969053 119797.53964729005 119063.69406756296 2208.4519695850904
79403459 0.43527929615730687 0.36500000000000005 0.05 139240.44319822846 6016673.1120492285 139221.4073426283 139259.7509946228 115170.5383093155
260162199 0.4021209399835787 0.24 0.05 134177.71592351177 6003352.348777548 148581.61146811725 118999.41739263703 12027.166424851468
278706358 3.44962956451929 3.2425 0.135 231826.52425518938 6001415.932125197 182076.61874982863 272613.6530507072 109507.32129430695
389658055 0.6565416767896989 0.45999999999999996 0.06 151858.52420201435 5975715.634569984 151649.17823789542 152097.7767324362 168856.81690420493
350443417 1.2167591781661782 0.44 0.08 182793.07977596307 5944113.487721183 183668.376959686 182088.6406025029 111553.18430150859
441105436 0.5532665254616851 0.23750000000000002 0.065 135725.47142958842 5914647.408962465 117240.43725324325 153177.07718489342 13817.963965226692
204497617 1.5894000177177916 0.385 0.09 183004.5085503322 5786248.186113469 183504.8665202003 182591.8421834308 109368.7449822887
139128537 1.5780235210234648 1.1925000000000001 0.055 250094.7598784377 5718694.624447474 249495.92664635938 250656.97381215132 146622.28385470968
161262226 0.46089205573514636 0.315 0.05 134351.70460068886 5666779.309581221 111706.25125105634 155763.5534876954 16111.533124461435
